"Date","Price","Open","High","Low","Vol.","Change %"
"08/21/2017","3.98","4.06","4.07","3.93","623.67M","-1.49%"
"08/18/2017","4.04","4.09","4.11","3.99","601.20M","0.00%"
"08/17/2017","4.04","4.12","4.14","4.03","525.44M","-2.18%"
"08/16/2017","4.13","4.19","4.21","4.10","596.63M","-0.96%"
"08/15/2017","4.17","4.22","4.24","4.14","764.53M","-0.95%"
"08/14/2017","4.21","3.99","4.21","3.98","1.28B","7.95%"
"08/11/2017","3.90","3.93","3.98","3.82","1.50B","-5.34%"
"08/10/2017","4.12","4.30","4.32","4.11","1.33B","-4.19%"
"08/09/2017","4.30","4.21","4.31","4.19","530.78M","0.94%"
"08/08/2017","4.26","4.35","4.36","4.22","755.33M","-1.16%"
"08/07/2017","4.31","4.21","4.31","4.20","717.41M","3.11%"
"08/04/2017","4.18","4.18","4.25","4.16","589.09M","0.48%"
"08/03/2017","4.16","4.11","4.17","4.09","442.42M","1.22%"
"08/02/2017","4.11","4.14","4.15","4.03","478.44M","0.00%"
"08/01/2017","4.11","4.05","4.11","4.03","431.38M","1.23%"
"07/31/2017","4.06","4.12","4.16","4.02","559.67M","-1.22%"
"07/28/2017","4.11","4.01","4.13","3.98","513.35M","1.73%"
"07/27/2017","4.04","4.21","4.22","3.94","782.86M","-3.35%"
"07/26/2017","4.18","4.19","4.25","4.15","640.40M","1.21%"
"07/25/2017","4.13","4.13","4.15","4.09","496.56M","-0.48%"
"07/24/2017","4.15","4.21","4.22","4.14","652.52M","-1.19%"
"07/21/2017","4.20","4.17","4.23","4.15","648.33M","0.24%"
"07/20/2017","4.19","4.15","4.19","4.10","699.60M","1.45%"
"07/19/2017","4.13","4.16","4.18","4.12","687.05M","-0.48%"
"07/18/2017","4.15","4.04","4.16","4.03","776.64M","0.97%"
"07/17/2017","4.11","4.16","4.19","4.04","930.79M","-0.24%"
"07/14/2017","4.12","4.03","4.13","4.03","941.95M","2.49%"
"07/13/2017","4.02","4.08","4.16","3.97","1.37B","-0.99%"
"07/12/2017","4.06","3.96","4.08","3.91","1.15B","4.10%"
"07/11/2017","3.90","3.85","3.90","3.80","757.96M","1.56%"
"07/10/2017","3.84","3.74","3.85","3.72","958.49M","4.63%"
"07/07/2017","3.67","3.64","3.69","3.62","654.97M","2.23%"
"07/06/2017","3.59","3.55","3.63","3.49","746.29M","0.28%"
"07/05/2017","3.58","3.55","3.61","3.53","820.19M","2.87%"
"07/03/2017","3.48","3.63","3.64","3.46","709.07M","-3.60%"
"06/30/2017","3.61","3.68","3.70","3.59","731.06M","-1.63%"
"06/29/2017","3.67","3.77","3.77","3.60","1.06B","-3.17%"
"06/28/2017","3.79","3.73","3.80","3.64","994.95M","3.55%"
"06/27/2017","3.66","3.79","3.79","3.66","999.49M","-3.68%"
"06/26/2017","3.80","3.88","3.92","3.71","1.06B","-1.30%"
"06/23/2017","3.85","3.97","3.98","3.83","1.09B","-2.78%"
"06/22/2017","3.96","4.00","4.01","3.94","469.13M","-0.75%"
"06/21/2017","3.99","3.96","3.99","3.89","682.65M","1.53%"
"06/20/2017","3.93","3.98","4.04","3.92","1.10B","0.00%"
"06/19/2017","3.93","3.84","3.94","3.83","778.18M","3.69%"
"06/16/2017","3.79","3.82","3.87","3.76","924.96M","-0.52%"
"06/15/2017","3.81","3.67","3.84","3.66","963.82M","0.53%"
"06/14/2017","3.79","3.79","3.85","3.71","1.18B","0.00%"
"06/13/2017","3.79","3.86","3.87","3.64","1.67B","1.07%"
"06/12/2017","3.75","3.65","3.79","3.55","1.70B","0.27%"
"06/09/2017","3.74","4.12","4.21","3.57","3.69B","-6.50%"
"06/08/2017","4.00","3.84","4.00","3.79","1.16B","7.24%"
"06/07/2017","3.73","3.71","3.75","3.69","612.61M","1.36%"
"06/06/2017","3.68","3.70","3.74","3.67","758.73M","-0.54%"
"06/05/2017","3.70","3.57","3.71","3.56","817.38M","3.06%"
"06/02/2017","3.59","3.61","3.63","3.58","487.46M","-0.55%"
"06/01/2017","3.61","3.62","3.63","3.56","503.34M","0.00%"
"05/31/2017","3.61","3.67","3.67","3.55","887.32M","-0.28%"
"05/30/2017","3.62","3.59","3.66","3.58","989.65M","1.97%"
"05/26/2017","3.55","3.45","3.63","3.43","779.14M","2.60%"
"05/25/2017","3.46","3.50","3.50","3.41","608.23M","0.00%"
"05/24/2017","3.46","3.52","3.53","3.45","817.38M","0.87%"
"05/23/2017","3.43","3.49","3.49","3.39","681.25M","-1.15%"
"05/22/2017","3.47","3.44","3.49","3.43","836.61M","2.06%"
"05/19/2017","3.40","3.43","3.46","3.38","1.02B","2.10%"
"05/18/2017","3.33","3.24","3.34","3.18","1.16B","4.39%"
"05/17/2017","3.19","3.35","3.37","3.19","1.27B","-6.73%"
